2020-05-08 17:30:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 17:30:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 17:30:13 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 17:30:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 17:30:33 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 18:00:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 18:00:13 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 18:00:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 18:00:34 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 18:30:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 18:30:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 18:30:33 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:00:12 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:00:22 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:00:33 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:00:43 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:00:53 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:01:03 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:01:14 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:30:12 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:30:22 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:30:33 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:30:43 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 08:30:53 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:00:12 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:00:23 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:00:33 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:00:43 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:00:54 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:30:02 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 09:30:12 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:30:22 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:30:32 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:30:43 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 09:30:53 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 10:00:12 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 10:00:23 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 10:00:33 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 10:00:33 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 10:00:43 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 10:30:02 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 10:30:13 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 10:30:13 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 10:30:13 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 10:30:24 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 11:00:02 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 11:00:02 Sat , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-09 11:00:12 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 11:00:23 Sat , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-09 11:08:00 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 11:08:00 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 11:08:01 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 11:08:01 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 11:08:01 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 13:30:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 14:00:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 14:30:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 14:30:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 15:00:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 15:00:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 15:00:03 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 15:00:03 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 16:00:12 Sat , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-09 16:00:12 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 16:30:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 16:30:02 Sat , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-09 16:30:13 Sat , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-09 17:00:12 Sat , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-09 17:30:12 Sat , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-09 18:00:12 Sat , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-09 18:30:13 Sat , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-10 08:00:12 Sun , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-10 08:30:12 Sun , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-10 09:00:12 Sun , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-10 09:00:13 Sun , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-10 09:00:23 Sun , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-10 09:30:12 Sun , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-10 12:30:12 Sun , ERROR , getNewsData.py getAllNews line 83 , error
